epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.492,1.45205,2.83212,0.02502,0.51537,0.4185,0.41642,0.17783,1.90953,2.0137,0.0519,0.000554847,0.000554847,0.000554847
2,602.808,1.67231,1.97334,0.02983,0.55299,0.49057,0.51251,0.23807,1.83211,1.74475,0.04791,0.00108853,0.00108853,0.00108853
3,894.927,1.6543,1.86694,0.02941,0.55227,0.56025,0.58665,0.28341,1.75286,1.61277,0.04608,0.0016002,0.0016002,0.0016002
4,1186.04,1.56431,1.72143,0.02711,0.73688,0.66003,0.73552,0.40604,1.55717,1.17858,0.03979,0.00156798,0.00156798,0.00156798
5,1476.67,1.50026,1.59046,0.02549,0.75164,0.67219,0.73698,0.38038,1.65643,1.16371,0.04022,0.00153497,0.00153497,0.00153497
6,1766.62,1.44759,1.51179,0.02431,0.7424,0.70452,0.79462,0.46078,1.50264,0.98973,0.03747,0.00150197,0.00150197,0.00150197
7,2057.02,1.41252,1.42477,0.02356,0.72689,0.72172,0.77514,0.44817,1.46919,1.04216,0.03597,0.00146896,0.00146896,0.00146896
8,2347.23,1.36661,1.35566,0.02329,0.82047,0.76252,0.84549,0.51007,1.42644,0.81804,0.03429,0.00143595,0.00143595,0.00143595
9,2638.02,1.33119,1.27352,0.02237,0.83887,0.77411,0.85134,0.50744,1.38227,0.80983,0.03308,0.00140295,0.00140295,0.00140295
10,2928.85,1.31667,1.25247,0.02188,0.86477,0.7896,0.88859,0.55641,1.35063,0.7086,0.03329,0.00136994,0.00136994,0.00136994
11,3219.52,1.29291,1.18929,0.0217,0.89837,0.79507,0.89151,0.5673,1.27191,0.66404,0.03018,0.00133693,0.00133693,0.00133693
12,3510.18,1.24062,1.15975,0.02062,0.87718,0.79918,0.89131,0.56397,1.30499,0.67516,0.03059,0.00130393,0.00130393,0.00130393
13,3801.12,1.25658,1.16451,0.0205,0.87477,0.8278,0.90565,0.59808,1.21844,0.62947,0.0283,0.00127092,0.00127092,0.00127092
14,4091.86,1.20977,1.07824,0.02021,0.87348,0.78812,0.8882,0.58778,1.22114,0.66929,0.02879,0.00123791,0.00123791,0.00123791
15,4382.81,1.1972,1.03516,0.01978,0.88357,0.83528,0.92137,0.60329,1.21599,0.61026,0.02836,0.00120491,0.00120491,0.00120491
16,4673.04,1.1705,1.04118,0.0192,0.92598,0.81547,0.91901,0.62497,1.18441,0.56281,0.02765,0.0011719,0.0011719,0.0011719
17,4963.72,1.14348,1.01982,0.01844,0.92212,0.85717,0.94006,0.6491,1.1224,0.50619,0.02584,0.00113889,0.00113889,0.00113889
18,5254.18,1.1259,0.98834,0.01844,0.93356,0.84198,0.94328,0.65307,1.12485,0.48455,0.02593,0.00110589,0.00110589,0.00110589
19,5544.6,1.13848,0.96755,0.0181,0.93075,0.85657,0.94584,0.6616,1.09477,0.46195,0.02526,0.00107288,0.00107288,0.00107288
20,5835.34,1.09903,0.94482,0.01771,0.90156,0.88818,0.95323,0.6769,1.05484,0.44715,0.02352,0.00103987,0.00103987,0.00103987
21,6125.58,1.07754,0.9046,0.01728,0.93495,0.88785,0.95629,0.68096,1.0525,0.42218,0.02376,0.00100687,0.00100687,0.00100687
22,6419.54,1.08262,0.90108,0.0169,0.94827,0.88475,0.96076,0.69565,1.02564,0.40148,0.02316,0.000973861,0.000973861,0.000973861
23,6710.17,1.05335,0.85778,0.01694,0.9435,0.90277,0.96304,0.70222,1.00252,0.37688,0.02207,0.000940855,0.000940855,0.000940855
24,7000.87,1.04594,0.87057,0.01641,0.95239,0.90453,0.96472,0.7051,1.00756,0.38326,0.02242,0.000907848,0.000907848,0.000907848
