epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,291.013,0.93048,0.69364,0.01421,0.96455,0.9498,0.98019,0.77526,0.80565,0.26661,0.01741,0.000412749,0.000412749,0.000412749
40,585.57,0.8925,0.66148,0.01394,0.97189,0.95042,0.97952,0.77892,0.7806,0.26861,0.01663,0.000379743,0.000379743,0.000379743
41,880.507,0.75023,0.3643,0.01491,0.97713,0.95168,0.9819,0.78862,0.76261,0.25551,0.01624,0.000346736,0.000346736,0.000346736
42,1172.98,0.7115,0.32243,0.0137,0.97941,0.95104,0.98174,0.80142,0.74044,0.24508,0.01555,0.000313729,0.000313729,0.000313729
43,1463.12,0.68437,0.31457,0.01316,0.96789,0.95895,0.98248,0.8107,0.72244,0.23348,0.01525,0.000280723,0.000280723,0.000280723
44,1758.59,0.64931,0.28823,0.01232,0.97947,0.95884,0.98398,0.81696,0.69442,0.21852,0.0145,0.000247716,0.000247716,0.000247716
45,2053.81,0.62577,0.27143,0.01157,0.97862,0.96233,0.98526,0.8215,0.67225,0.21317,0.014,0.00021471,0.00021471,0.00021471
46,2349.31,0.60274,0.25677,0.01082,0.97027,0.97014,0.98514,0.82721,0.6529,0.21282,0.01353,0.000181703,0.000181703,0.000181703
47,2643.62,0.58165,0.24473,0.01088,0.98216,0.95992,0.98487,0.82583,0.64859,0.21576,0.01344,0.000148696,0.000148696,0.000148696
48,2938.55,0.57299,0.24329,0.01048,0.97238,0.96154,0.98362,0.83037,0.63553,0.21833,0.01316,0.00011569,0.00011569,0.00011569
49,3233.37,0.56293,0.23531,0.00997,0.98279,0.95772,0.98475,0.82966,0.62991,0.21448,0.01298,8.26832e-05,8.26832e-05,8.26832e-05
50,3528.25,0.54512,0.22591,0.0098,0.98198,0.96026,0.98405,0.82971,0.62556,0.21047,0.01294,4.96766e-05,4.96766e-05,4.96766e-05
